id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0JXXNGljqupsJaZsgSbMZV,88,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,195373,4
7FAFkQQZFeNwOFzTrSDFIh,82,0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.006,195873,4
7BqBn9nzAq8spo5e7cZ0dJ,85,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,4
1eUGmzzvahJjOSWgDHuRlv,81,0.372,0.239,6,-11.314,0,0.0296,0.856,0.000175,0.168,0.127,113.451,102813,4
42qNWdLKCI41S4uzfamhFM,84,0.583,0.888,11,-9.414,0,0.0349,0.191,4.58e-05,0.0936,0.706,93.206,203600,4
03tqyYWC9Um2ZqU0ZN849H,78,0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,263773,4
1UGD3lW3tDmgZfAVDh6w7r,80,0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,351947,4
3hlksXnvbKogFdPbpO9vel,81,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,200013,4
2tJulUYLDKOg9XrtVkMgcJ,79,0.704,0.558,2,-7.273,0,0.0542,0.148,0,0.107,0.245,110.444,222091,4
4HlFJV71xXKIGcU3kRyttv,84,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,4
161DnLWsx1i3u1JT05lzqU,82,0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,217867,4
0V5cvmTKsYmF5FmGGEAfmS,85,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,160853,4
60IGhnH20N82dNxKnc8jDd,76,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173,4
3DK6m7It6Pw857FcQftMds,80,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,547733,4
3avYqdwHKEq8beXbeWCKqJ,76,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733,4
0HPD5WQqrq7wPWR7P7Dw1i,83,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,199693,4
